mock_student_no,student_display_name,student_firstname,student_lastname,age,over_18,gender,special_needs,course_type,country,city,timezone,timezone_group,primary_language,other_languages,current_level,base_of_learning,number_of_sessions_per_week,preferred_days,preferred_hours_local,schedule_choices,parent_guardian_required,parent_name,parent_contact_email_or_phone,parent_phone_whatsapp,live_class_consent,recording_consent,consent_notes_comment,recommended_group_pool,recommended_group_size_target,bbb_ready,moodle_course_group_ready,admin_notes
1,Ayaan Yusuf,Ayaan,Yusuf,7,no,male,no,Quraan Memorization Course,United States,Minneapolis,America/Chicago,Minnesota,English,"Somali, Arabic",level_1,knows_letters,2,"Tuesday, Thursday","6:00 PM, 7:00 PM",Tuesday 6:00 PM; Thursday 7:00 PM,yes,Khadra Yusuf,parent01@example.test,+10000000001,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | level_1 | male | ages 6-8,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
12,Amina Hassan,Amina,Hassan,19,yes,female,no,Pre-quraan Course,Kenya,Nairobi,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_2,can_read_simple_words,3,Saturday,"6:00 PM, 7:00 PM",Saturday 6:00 PM,no,,+1-555-01012,+10000000012,yes,no,Mock consent captured for planning only.,Kenya | Pre-quraan Course | level_2 | female | ages 18-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
13,Bilal Mohamed,Bilal,Mohamed,7,no,male,no,Quraan Memorization Course,Kenya,Mombasa,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",tajweed_intro,needs_revision,4,"Sunday, Wednesday","7:00 PM, 8:00 PM, 4:00 PM",Sunday 7:00 PM; Wednesday 8:00 PM,yes,Zamzam Mohamed,parent13@example.test,+10000000013,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | tajweed_intro | male | ages 6-8,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
14,Layla Abdi,Layla,Abdi,9,no,female,no,Pre-quraan Course,Kenya,Kisumu,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_1,memorization_beginner,5,"Monday, Friday","8:00 PM, 4:00 PM, 5:00 PM",Monday 8:00 PM; Friday 4:00 PM,yes,Omar Abdi,parent14@example.test,+10000000014,yes,yes,Mock consent captured for planning only.,Kenya | Pre-quraan Course | level_1 | female | ages 8-10,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
15,Hamza Ibrahim,Hamza,Ibrahim,11,no,male,no,Quraan Memorization Course,Kenya,Eldoret,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",short_surahs,new_learner,1,"Monday, Wednesday",4:00 PM,Monday 4:00 PM; Wednesday 4:00 PM,yes,Abdirahman Ibrahim,parent15@example.test,+10000000015,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | short_surahs | male | ages 10-12,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
16,Nura Ahmed,Nura,Ahmed,13,no,female,no,Pre-quraan Course,Kenya,Garissa,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",alphabet,knows_letters,2,"Tuesday, Thursday","5:00 PM, 6:00 PM",Tuesday 5:00 PM; Thursday 6:00 PM,yes,Khadra Ahmed,parent16@example.test,+10000000016,yes,no,Mock consent captured for planning only.,Kenya | Pre-quraan Course | alphabet | female | ages 12-14,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
17,Ismail Hassan,Ismail,Hassan,15,no,male,no,Quraan Memorization Course,Kenya,Nairobi,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_2,can_read_simple_words,3,Saturday,"6:00 PM, 7:00 PM",Saturday 6:00 PM,yes,Hussein Hassan,parent17@example.test,+10000000017,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | level_2 | male | ages 14-16,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
18,Sumaya Mohamed,Sumaya,Mohamed,17,no,female,no,Pre-quraan Course,Kenya,Mombasa,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",tajweed_intro,needs_revision,4,"Sunday, Wednesday","7:00 PM, 8:00 PM, 4:00 PM",Sunday 7:00 PM; Wednesday 8:00 PM,yes,Zamzam Mohamed,parent18@example.test,+10000000018,yes,yes,Mock consent captured for planning only.,Kenya | Pre-quraan Course | tajweed_intro | female | ages 16-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
19,Khalid Abdi,Khalid,Abdi,6,no,male,no,Quraan Memorization Course,Kenya,Kisumu,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_1,memorization_beginner,5,"Monday, Friday","8:00 PM, 4:00 PM, 5:00 PM",Monday 8:00 PM; Friday 4:00 PM,yes,Omar Abdi,parent19@example.test,+10000000019,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | level_1 | male | ages 6-7,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
20,Hodan Ibrahim,Hodan,Ibrahim,8,no,female,no,Pre-quraan Course,Kenya,Eldoret,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",short_surahs,new_learner,1,"Monday, Wednesday",4:00 PM,Monday 4:00 PM; Wednesday 4:00 PM,yes,Abdirahman Ibrahim,parent20@example.test,+10000000020,yes,no,Mock consent captured for planning only.,Kenya | Pre-quraan Course | short_surahs | female | ages 7-9,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
21,Salman Ahmed,Salman,Ahmed,10,no,male,no,Quraan Memorization Course,Kenya,Garissa,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",alphabet,knows_letters,2,"Tuesday, Thursday","5:00 PM, 6:00 PM",Tuesday 5:00 PM; Thursday 6:00 PM,yes,Khadra Ahmed,parent21@example.test,+10000000021,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | alphabet | male | ages 9-11,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
22,Asma Hassan,Asma,Hassan,12,no,female,no,Pre-quraan Course,Kenya,Nairobi,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_2,can_read_simple_words,3,Saturday,"6:00 PM, 7:00 PM",Saturday 6:00 PM,yes,Hussein Hassan,parent22@example.test,+10000000022,yes,yes,Mock consent captured for planning only.,Kenya | Pre-quraan Course | level_2 | female | ages 11-13,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
23,Yasir Mohamed,Yasir,Mohamed,14,no,male,no,Quraan Memorization Course,Kenya,Mombasa,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",tajweed_intro,needs_revision,4,"Sunday, Wednesday","7:00 PM, 8:00 PM, 4:00 PM",Sunday 7:00 PM; Wednesday 8:00 PM,yes,Zamzam Mohamed,parent23@example.test,+10000000023,yes,yes,Mock consent captured for planning only.,Kenya | Quraan Memorization Course | tajweed_intro | male | ages 13-15,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
24,Ruqiya Abdi,Ruqiya,Abdi,16,no,female,yes,Pre-quraan Course,Kenya,Kisumu,Africa/Nairobi,Kenya,Somali,"English, Arabic, Swahili",level_1,memorization_beginner,5,"Monday, Friday","8:00 PM, 4:00 PM, 5:00 PM",Monday 8:00 PM; Friday 4:00 PM,yes,Omar Abdi,parent24@example.test,+10000000024,yes,no,Mock consent captured for planning only.,Kenya | Pre-quraan Course | level_1 | female | ages 15-17,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
25,Idris Osman,Idris,Osman,18,yes,male,no,Quraan Memorization Course,United Kingdom,London,Europe/London,London,English,"Somali, Arabic",alphabet,new_learner,1,"Monday, Wednesday",6:00 PM,Monday 6:00 PM; Wednesday 6:00 PM,no,,+1-555-01025,+10000000025,yes,yes,Mock consent captured for planning only.,London | Quraan Memorization Course | alphabet | male | ages 17-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
26,Amal Nur,Amal,Nur,7,no,female,no,Pre-quraan Course,United Kingdom,Birmingham,Europe/London,London,English,"Somali, Arabic",level_2,knows_letters,2,"Tuesday, Thursday","7:00 PM, 8:00 PM",Tuesday 7:00 PM; Thursday 8:00 PM,yes,Khadra Nur,parent26@example.test,+10000000026,yes,yes,Mock consent captured for planning only.,London | Pre-quraan Course | level_2 | female | ages 6-8,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
27,Anas Farah,Anas,Farah,9,no,male,no,Quraan Memorization Course,United Kingdom,Manchester,Europe/London,London,English,"Somali, Arabic",tajweed_intro,can_read_simple_words,3,Saturday,"8:00 PM, 5:00 PM",Saturday 8:00 PM,yes,Hussein Farah,parent27@example.test,+10000000027,yes,yes,Mock consent captured for planning only.,London | Quraan Memorization Course | tajweed_intro | male | ages 8-10,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
28,Sahra Yusuf,Sahra,Yusuf,11,no,female,no,Pre-quraan Course,United Kingdom,Leicester,Europe/London,London,English,"Somali, Arabic",level_1,needs_revision,4,"Sunday, Wednesday","5:00 PM, 6:00 PM, 7:00 PM",Sunday 5:00 PM; Wednesday 6:00 PM,yes,Zamzam Yusuf,parent28@example.test,+10000000028,yes,no,Mock consent captured for planning only.,London | Pre-quraan Course | level_1 | female | ages 10-12,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
29,Zayd Ali,Zayd,Ali,13,no,male,no,Quraan Memorization Course,United Kingdom,Bristol,Europe/London,London,English,"Somali, Arabic",short_surahs,memorization_beginner,5,"Monday, Friday","6:00 PM, 7:00 PM, 8:00 PM",Monday 6:00 PM; Friday 7:00 PM,yes,Omar Ali,parent29@example.test,+10000000029,yes,yes,Mock consent captured for planning only.,London | Quraan Memorization Course | short_surahs | male | ages 12-14,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
30,Naima Osman,Naima,Osman,15,no,female,no,Pre-quraan Course,United Kingdom,London,Europe/London,London,English,"Somali, Arabic",alphabet,new_learner,1,"Monday, Wednesday",7:00 PM,Monday 7:00 PM; Wednesday 7:00 PM,yes,Abdirahman Osman,parent30@example.test,+10000000030,yes,yes,Mock consent captured for planning only.,London | Pre-quraan Course | alphabet | female | ages 14-16,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
31,Hassan Nur,Hassan,Nur,19,yes,male,no,Quraan Memorization Course,United Kingdom,Birmingham,Europe/London,London,English,"Somali, Arabic",level_2,knows_letters,2,"Tuesday, Thursday","8:00 PM, 5:00 PM",Tuesday 8:00 PM; Thursday 5:00 PM,no,,+1-555-01031,+10000000031,yes,yes,Mock consent captured for planning only.,London | Quraan Memorization Course | level_2 | male | ages 18-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
32,Khadija Farah,Khadija,Farah,6,no,female,no,Pre-quraan Course,United Kingdom,Manchester,Europe/London,London,English,"Somali, Arabic",tajweed_intro,can_read_simple_words,3,Saturday,"5:00 PM, 6:00 PM",Saturday 5:00 PM,yes,Hussein Farah,parent32@example.test,+10000000032,yes,no,Mock consent captured for planning only.,London | Pre-quraan Course | tajweed_intro | female | ages 6-7,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
33,Ali Yusuf,Ali,Yusuf,8,no,male,no,Quraan Memorization Course,United Kingdom,Leicester,Europe/London,London,English,"Somali, Arabic",level_1,needs_revision,4,"Sunday, Wednesday","6:00 PM, 7:00 PM, 8:00 PM",Sunday 6:00 PM; Wednesday 7:00 PM,yes,Zamzam Yusuf,parent33@example.test,+10000000033,yes,yes,Mock consent captured for planning only.,London | Quraan Memorization Course | level_1 | male | ages 7-9,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
34,Muna Ali,Muna,Ali,10,no,female,no,Pre-quraan Course,United Kingdom,Bristol,Europe/London,London,English,"Somali, Arabic",short_surahs,memorization_beginner,5,"Monday, Friday","7:00 PM, 8:00 PM, 5:00 PM",Monday 7:00 PM; Friday 8:00 PM,yes,Omar Ali,parent34@example.test,+10000000034,yes,yes,Mock consent captured for planning only.,London | Pre-quraan Course | short_surahs | female | ages 9-11,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
35,Abdi Osman,Abdi,Osman,15,no,male,no,Quraan Memorization Course,Pakistan,Lahore,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",alphabet,new_learner,1,"Monday, Wednesday",6:00 PM,Monday 6:00 PM; Wednesday 6:00 PM,yes,Abdirahman Osman,parent35@example.test,+10000000035,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Quraan Memorization Course | alphabet | male | ages 14-16",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
36,Rahma Nur,Rahma,Nur,17,no,female,no,Pre-quraan Course,Pakistan,Karachi,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",level_2,knows_letters,2,"Tuesday, Thursday","7:00 PM, 8:00 PM",Tuesday 7:00 PM; Thursday 8:00 PM,yes,Khadra Nur,parent36@example.test,+10000000036,yes,no,Mock consent captured for planning only.,"Lahore, Pakistan | Pre-quraan Course | level_2 | female | ages 16-18",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
37,Tariq Farah,Tariq,Farah,6,no,male,no,Quraan Memorization Course,Pakistan,Islamabad,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",tajweed_intro,can_read_simple_words,3,Saturday,"8:00 PM, 9:00 PM",Saturday 8:00 PM,yes,Hussein Farah,parent37@example.test,+10000000037,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Quraan Memorization Course | tajweed_intro | male | ages 6-7",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
38,Ilhan Yusuf,Ilhan,Yusuf,8,no,female,no,Pre-quraan Course,Pakistan,Faisalabad,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",level_1,needs_revision,4,"Sunday, Wednesday","9:00 PM, 10:00 PM, 6:00 PM",Sunday 9:00 PM; Wednesday 10:00 PM,yes,Zamzam Yusuf,parent38@example.test,+10000000038,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Pre-quraan Course | level_1 | female | ages 7-9",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
39,Kareem Ali,Kareem,Ali,10,no,male,no,Quraan Memorization Course,Pakistan,Rawalpindi,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",short_surahs,memorization_beginner,5,"Monday, Friday","10:00 PM, 6:00 PM, 7:00 PM",Monday 10:00 PM; Friday 6:00 PM,yes,Omar Ali,parent39@example.test,+10000000039,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Quraan Memorization Course | short_surahs | male | ages 9-11",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
40,Faduma Osman,Faduma,Osman,12,no,female,no,Pre-quraan Course,Pakistan,Lahore,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",alphabet,new_learner,1,"Monday, Wednesday",6:00 PM,Monday 6:00 PM; Wednesday 6:00 PM,yes,Abdirahman Osman,parent40@example.test,+10000000040,yes,no,Mock consent captured for planning only.,"Lahore, Pakistan | Pre-quraan Course | alphabet | female | ages 11-13",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
41,Mahad Nur,Mahad,Nur,14,no,male,yes,Quraan Memorization Course,Pakistan,Karachi,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",level_2,knows_letters,2,"Tuesday, Thursday","7:00 PM, 8:00 PM",Tuesday 7:00 PM; Thursday 8:00 PM,yes,Khadra Nur,parent41@example.test,+10000000041,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Quraan Memorization Course | level_2 | male | ages 13-15",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
42,Zainab Farah,Zainab,Farah,16,no,female,no,Pre-quraan Course,Pakistan,Islamabad,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",tajweed_intro,can_read_simple_words,3,Saturday,"8:00 PM, 9:00 PM",Saturday 8:00 PM,yes,Hussein Farah,parent42@example.test,+10000000042,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Pre-quraan Course | tajweed_intro | female | ages 15-17",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
43,Abdullah Yusuf,Abdullah,Yusuf,18,yes,male,no,Quraan Memorization Course,Pakistan,Faisalabad,Asia/Karachi,"Lahore, Pakistan",Urdu,"English, Arabic",level_1,needs_revision,4,"Sunday, Wednesday","9:00 PM, 10:00 PM, 6:00 PM",Sunday 9:00 PM; Wednesday 10:00 PM,no,,+1-555-01043,+10000000043,yes,yes,Mock consent captured for planning only.,"Lahore, Pakistan | Quraan Memorization Course | level_1 | male | ages 17-18",9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
44,Iman Mohamed,Iman,Mohamed,11,no,female,no,Pre-quraan Course,Saudi Arabia,Riyadh,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",tajweed_intro,memorization_beginner,5,"Monday, Friday","9:00 PM, 5:00 PM, 6:00 PM",Monday 9:00 PM; Friday 5:00 PM,yes,Omar Mohamed,parent44@example.test,+10000000044,yes,no,Mock consent captured for planning only.,Saudi Arabia | Pre-quraan Course | tajweed_intro | female | ages 10-12,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
45,Farhan Abdi,Farhan,Abdi,13,no,male,no,Quraan Memorization Course,Saudi Arabia,Jeddah,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",level_1,new_learner,1,"Monday, Wednesday",5:00 PM,Monday 5:00 PM; Wednesday 5:00 PM,yes,Abdirahman Abdi,parent45@example.test,+10000000045,yes,yes,Mock consent captured for planning only.,Saudi Arabia | Quraan Memorization Course | level_1 | male | ages 12-14,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
46,Halima Ibrahim,Halima,Ibrahim,15,no,female,no,Pre-quraan Course,Saudi Arabia,Makkah,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",short_surahs,knows_letters,2,"Tuesday, Thursday","6:00 PM, 7:00 PM",Tuesday 6:00 PM; Thursday 7:00 PM,yes,Khadra Ibrahim,parent46@example.test,+10000000046,yes,yes,Mock consent captured for planning only.,Saudi Arabia | Pre-quraan Course | short_surahs | female | ages 14-16,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
47,Sami Ahmed,Sami,Ahmed,17,no,male,no,Quraan Memorization Course,Saudi Arabia,Madinah,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",alphabet,can_read_simple_words,3,Saturday,"7:00 PM, 8:00 PM",Saturday 7:00 PM,yes,Hussein Ahmed,parent47@example.test,+10000000047,yes,yes,Mock consent captured for planning only.,Saudi Arabia | Quraan Memorization Course | alphabet | male | ages 16-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
48,Nasra Hassan,Nasra,Hassan,6,no,female,no,Pre-quraan Course,Saudi Arabia,Dammam,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",level_2,needs_revision,4,"Sunday, Wednesday","8:00 PM, 9:00 PM, 5:00 PM",Sunday 8:00 PM; Wednesday 9:00 PM,yes,Zamzam Hassan,parent48@example.test,+10000000048,yes,no,Mock consent captured for planning only.,Saudi Arabia | Pre-quraan Course | level_2 | female | ages 6-7,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
49,Aisha Mohamed,Aisha,Mohamed,8,no,male,no,Quraan Memorization Course,Saudi Arabia,Riyadh,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",tajweed_intro,memorization_beginner,5,"Monday, Friday","9:00 PM, 5:00 PM, 6:00 PM",Monday 9:00 PM; Friday 5:00 PM,yes,Omar Mohamed,parent49@example.test,+10000000049,yes,yes,Mock consent captured for planning only.,Saudi Arabia | Quraan Memorization Course | tajweed_intro | male | ages 7-9,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
50,Rayyan Abdi,Rayyan,Abdi,10,no,female,no,Pre-quraan Course,Saudi Arabia,Jeddah,Asia/Riyadh,Saudi Arabia,Arabic,"English, Somali",level_1,new_learner,1,"Monday, Wednesday",5:00 PM,Monday 5:00 PM; Wednesday 5:00 PM,yes,Abdirahman Abdi,parent50@example.test,+10000000050,yes,yes,Mock consent captured for planning only.,Saudi Arabia | Pre-quraan Course | level_1 | female | ages 9-11,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
