username,firstname,lastname,email,password,city,country,timezone,cohort1,course1,role1,course2,role2,course3,role3
su-student012,Iman,Guleed,su-student012@somaliuniversity.demo.test,SUDemo-S012-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-isl101,student,,
su-student013,Omar,Egal,su-student013@somaliuniversity.demo.test,SUDemo-S013-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student014,Warsame,Abdi,su-student014@somaliuniversity.demo.test,SUDemo-S014-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,,
su-student015,Hassan,Farah,su-student015@somaliuniversity.demo.test,SUDemo-S015-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,,
su-student016,Guled,Mohamed,su-student016@somaliuniversity.demo.test,SUDemo-S016-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student017,Hodan,Duale,su-student017@somaliuniversity.demo.test,SUDemo-S017-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,,,,
su-student018,Hodan,Mire,su-student018@somaliuniversity.demo.test,SUDemo-S018-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,,,,
su-student019,Sahra,Jama,su-student019@somaliuniversity.demo.test,SUDemo-S019-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-qurn101,student,,
su-student020,Ubax,Barre,su-student020@somaliuniversity.demo.test,SUDemo-S020-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-eng101,student,su-isl101,student
su-student021,Abdi,Ali,su-student021@somaliuniversity.demo.test,SUDemo-S021-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,,,,
su-student022,Halima,Mire,su-student022@somaliuniversity.demo.test,SUDemo-S022-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-arb101,student,,
su-student023,Yasmin,Farah,su-student023@somaliuniversity.demo.test,SUDemo-S023-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student024,Rahma,Mire,su-student024@somaliuniversity.demo.test,SUDemo-S024-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-math101,student,su-eng101,student
su-student025,Nimco,Elmi,su-student025@somaliuniversity.demo.test,SUDemo-S025-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student026,Hibo,Farah,su-student026@somaliuniversity.demo.test,SUDemo-S026-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-arb101,student,,
su-student027,Elmi,Ismail,su-student027@somaliuniversity.demo.test,SUDemo-S027-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,,
su-student028,Warsame,Egal,su-student028@somaliuniversity.demo.test,SUDemo-S028-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-qurn101,student,su-math101,student
su-student029,Yasmin,Egal,su-student029@somaliuniversity.demo.test,SUDemo-S029-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-arb101,student,su-isl101,student
su-student030,Mustaf,Awale,su-student030@somaliuniversity.demo.test,SUDemo-S030-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,,,,
su-student031,Abdullahi,Farah,su-student031@somaliuniversity.demo.test,SUDemo-S031-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-arb101,student,su-isl101,student
su-student032,Sahra,Osman,su-student032@somaliuniversity.demo.test,SUDemo-S032-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-arb101,student,su-eng101,student
su-student033,Khalid,Barre,su-student033@somaliuniversity.demo.test,SUDemo-S033-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student034,Sharmarke,Sheikh,su-student034@somaliuniversity.demo.test,SUDemo-S034-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,,,,
su-student035,Amina,Elmi,su-student035@somaliuniversity.demo.test,SUDemo-S035-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student036,Ubax,Isse,su-student036@somaliuniversity.demo.test,SUDemo-S036-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-arb101,student,,
su-student037,Jamal,Jama,su-student037@somaliuniversity.demo.test,SUDemo-S037-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-eng101,student,,
su-student038,Liban,Farah,su-student038@somaliuniversity.demo.test,SUDemo-S038-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student039,Deeqa,Osman,su-student039@somaliuniversity.demo.test,SUDemo-S039-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,,
su-student040,Mustaf,Guleed,su-student040@somaliuniversity.demo.test,SUDemo-S040-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student041,Zahra,Abdi,su-student041@somaliuniversity.demo.test,SUDemo-S041-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student042,Hussein,Samatar,su-student042@somaliuniversity.demo.test,SUDemo-S042-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student043,Deeqa,Yusuf,su-student043@somaliuniversity.demo.test,SUDemo-S043-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,su-isl101,student
su-student044,Mohamed,Hussein,su-student044@somaliuniversity.demo.test,SUDemo-S044-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,su-qurn101,student
su-student045,Khadija,Barre,su-student045@somaliuniversity.demo.test,SUDemo-S045-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-qurn101,student,,
su-student046,Elmi,Abdi,su-student046@somaliuniversity.demo.test,SUDemo-S046-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,su-isl101,student
su-student047,Filsan,Samatar,su-student047@somaliuniversity.demo.test,SUDemo-S047-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-eng101,student,,
su-student048,Mohamed,Barre,su-student048@somaliuniversity.demo.test,SUDemo-S048-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-arb101,student,su-qurn101,student
su-student049,Nimco,Abdi,su-student049@somaliuniversity.demo.test,SUDemo-S049-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,su-eng101,student
su-student050,Jawahir,Mire,su-student050@somaliuniversity.demo.test,SUDemo-S050-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-eng101,student,su-math101,student
su-student051,Sagal,Mohamed,su-student051@somaliuniversity.demo.test,SUDemo-S051-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,su-qurn101,student
su-student052,Sharmarke,Hassan,su-student052@somaliuniversity.demo.test,SUDemo-S052-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student053,Amina,Warsame,su-student053@somaliuniversity.demo.test,SUDemo-S053-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-arb101,student,,
su-student054,Sharmarke,Nuur,su-student054@somaliuniversity.demo.test,SUDemo-S054-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-isl101,student,su-eng101,student
su-student055,Nasra,Warsame,su-student055@somaliuniversity.demo.test,SUDemo-S055-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-qurn101,student,su-math101,student
su-student056,Jawahir,Aden,su-student056@somaliuniversity.demo.test,SUDemo-S056-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-qurn101,student,su-isl101,student
su-student057,Awil,Guleed,su-student057@somaliuniversity.demo.test,SUDemo-S057-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student058,Zahra,Warsame,su-student058@somaliuniversity.demo.test,SUDemo-S058-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-arb101,student,su-math101,student
su-student059,Deeqa,Abdi,su-student059@somaliuniversity.demo.test,SUDemo-S059-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student060,Yusuf,Mire,su-student060@somaliuniversity.demo.test,SUDemo-S060-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-math101,student,su-eng101,student
su-student061,Kaafi,Nuur,su-student061@somaliuniversity.demo.test,SUDemo-S061-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-isl101,student,su-eng101,student
su-student062,Dahir,Osman,su-student062@somaliuniversity.demo.test,SUDemo-S062-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-eng101,student,,
su-student063,Mohamed,Mire,su-student063@somaliuniversity.demo.test,SUDemo-S063-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,,
su-student064,Hibo,Barre,su-student064@somaliuniversity.demo.test,SUDemo-S064-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,su-qurn101,student
su-student065,Iman,Gedi,su-student065@somaliuniversity.demo.test,SUDemo-S065-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-qurn101,student,su-isl101,student
su-student066,Jawahir,Barre,su-student066@somaliuniversity.demo.test,SUDemo-S066-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student067,Fadumo,Nuur,su-student067@somaliuniversity.demo.test,SUDemo-S067-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-isl101,student,su-arb101,student
su-student068,Amina,Egal,su-student068@somaliuniversity.demo.test,SUDemo-S068-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student069,Hamza,Mohamed,su-student069@somaliuniversity.demo.test,SUDemo-S069-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-isl101,student,su-eng101,student
su-student070,Abdi,Abdi,su-student070@somaliuniversity.demo.test,SUDemo-S070-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-arb101,student,,
su-student071,Amina,Barre,su-student071@somaliuniversity.demo.test,SUDemo-S071-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,,
su-student072,Kaafi,Hussein,su-student072@somaliuniversity.demo.test,SUDemo-S072-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-isl101,student,,
su-student073,Warsame,Isse,su-student073@somaliuniversity.demo.test,SUDemo-S073-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student074,Sahra,Warsame,su-student074@somaliuniversity.demo.test,SUDemo-S074-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student075,Zakariye,Hersi,su-student075@somaliuniversity.demo.test,SUDemo-S075-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student076,Ahmed,Guleed,su-student076@somaliuniversity.demo.test,SUDemo-S076-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,su-qurn101,student
su-student077,Ifrah,Barre,su-student077@somaliuniversity.demo.test,SUDemo-S077-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-arb101,student,,
su-student078,Khalid,Farah,su-student078@somaliuniversity.demo.test,SUDemo-S078-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-arb101,student,,
su-student079,Ahmed,Hersi,su-student079@somaliuniversity.demo.test,SUDemo-S079-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-eng101,student,,
su-student080,Ahmed,Gedi,su-student080@somaliuniversity.demo.test,SUDemo-S080-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student081,Deeqa,Ali,su-student081@somaliuniversity.demo.test,SUDemo-S081-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,,,,
su-student082,Omar,Hersi,su-student082@somaliuniversity.demo.test,SUDemo-S082-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,,
su-student083,Warsame,Samatar,su-student083@somaliuniversity.demo.test,SUDemo-S083-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student084,Abdullahi,Awale,su-student084@somaliuniversity.demo.test,SUDemo-S084-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student085,Ismail,Ismail,su-student085@somaliuniversity.demo.test,SUDemo-S085-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,su-eng101,student,su-isl101,student
su-student086,Hibo,Awale,su-student086@somaliuniversity.demo.test,SUDemo-S086-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,,,,
su-student087,Ifrah,Nuur,su-student087@somaliuniversity.demo.test,SUDemo-S087-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student088,Omar,Osman,su-student088@somaliuniversity.demo.test,SUDemo-S088-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,,,,
su-student089,Nasra,Samatar,su-student089@somaliuniversity.demo.test,SUDemo-S089-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student090,Hamdi,Abdi,su-student090@somaliuniversity.demo.test,SUDemo-S090-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,student,,,,
su-student091,Deeqa,Ismail,su-student091@somaliuniversity.demo.test,SUDemo-S091-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,su-qurn101,student
su-student092,Halima,Guleed,su-student092@somaliuniversity.demo.test,SUDemo-S092-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-qurn101,student,,
su-student093,Awil,Farah,su-student093@somaliuniversity.demo.test,SUDemo-S093-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-eng101,student,,
su-student094,Liban,Ali,su-student094@somaliuniversity.demo.test,SUDemo-S094-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,,,,
su-student095,Awil,Ali,su-student095@somaliuniversity.demo.test,SUDemo-S095-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-isl101,student,,
su-student096,Warsame,Guleed,su-student096@somaliuniversity.demo.test,SUDemo-S096-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,,
su-student097,Sahra,Guleed,su-student097@somaliuniversity.demo.test,SUDemo-S097-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student098,Ahmed,Samatar,su-student098@somaliuniversity.demo.test,SUDemo-S098-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,,
su-student099,Iman,Awale,su-student099@somaliuniversity.demo.test,SUDemo-S099-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-arb101,student,,
su-student100,Halima,Hassan,su-student100@somaliuniversity.demo.test,SUDemo-S100-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,student,su-math101,student,,
